CP_ID,Phase,CP_Item,Status,Owner,Evidence_Path,Date_Available,Frequency,Blocking,Notes,Lender_Name,Last_Updated
CP-21,2,Holder-specific STC position statement,In Progress,Custodian,03_COLLATERAL_DOCUMENTATION/03.04 STC Position Statement.pdf,3-5 BD,,Yes,NEW from Issuance Resolution,,[YYYY-MM-DD]
CP-22,2,Negative lien / no prior pledge confirmation,In Progress,Borrower,02_ENTITY_DOCUMENTS/Officer_Certificate_No_Liens.pdf,2 BD,,Yes,NEW from Issuance Resolution,,[YYYY-MM-DD]
CP-23,2,Evidence of $3B cost basis funding,In Progress,Borrower,06_COMPLIANCE/06.04 Source of Funds.pdf + 03_COLLATERAL/03.05 Subscription Agreement.pdf,Upon NDA,,Medium,NEW from Issuance Resolution,,[YYYY-MM-DD]
CP-24,2,OFAC / Sanctions Certification,In Progress,Borrower,06_COMPLIANCE/06.03 OFAC Certification.pdf,Upon NDA,,Yes,,,[YYYY-MM-DD]
CP-25,2,AML Certification,In Progress,Borrower,06_COMPLIANCE/06.05 AML Certification.pdf,Upon NDA,,Yes,,,[YYYY-MM-DD]
CP-26,2,DTC/DWAC Eligibility Confirmation,In Progress,Borrower/STC,03_COLLATERAL_DOCUMENTATION/DTC_DWAC_Eligibility.pdf,2-3 BD,,Medium,,,[YYYY-MM-DD]
CP-27,2,Coupon Payment Evidence,In Progress,Borrower/STC,07_FINANCIAL/Coupon_Payment_Confirmation.pdf,3-5 BD,,Medium,,,[YYYY-MM-DD]
CP-28,2,Chain of Custody Documentation,Ready,Borrower,03_COLLATERAL_DOCUMENTATION/03.08 FedEx Delivery Confirmation.pdf,Immediate,,Medium,,,[YYYY-MM-DD]
CP-29,3,Credit/Facility Agreement (near-final),Lender-Dependent,Lender/Counsel,05_LEGAL/05.02 Facility Agreement.pdf,Per negotiation,,Yes,,,[YYYY-MM-DD]
CP-30,3,Security Agreement (near-final),Lender-Dependent,Lender/Counsel,05_LEGAL/05.03 Security Agreement.pdf,Per negotiation,,Yes,,,[YYYY-MM-DD]
CP-31,3,Control Agreement (STC / account control),Lender-Dependent,Lender/Custodian,05_LEGAL/05.05 Account Control Agreement.pdf,Per negotiation,,Yes,Tri-party coordination,,[YYYY-MM-DD]
CP-32,3,Pledge Agreement,Lender-Dependent,Lender/Counsel,05_LEGAL/05.04 Pledge Agreement.pdf,Per negotiation,,Yes,,,[YYYY-MM-DD]
CP-33,3,UCC-1 drafts + debtor info verified,In Progress,Counsel,05_LEGAL/05.06 UCC-1 Financing Statement.pdf,Ready to file,,Yes,Wyoming filing,,[YYYY-MM-DD]
CP-34,3,Insurance endorsements (lender as loss payee),In Progress,Insurer,04_INSURANCE/Insurance_Certificate_Lender_Named.pdf,5-7 BD,,Yes,C.J. Coleman coordination,,[YYYY-MM-DD]
CP-35,3,Closing checklist (counsel),In Progress,Counsel,05_LEGAL/CLOSING_CHECKLIST.pdf,2 BD,,Yes,,,[YYYY-MM-DD]
CP-36,3,Officer Certificate (no default / no litigation),In Progress,Borrower,02_ENTITY_DOCUMENTS/Officer_Certificate.pdf,2 BD,,Yes,,,[YYYY-MM-DD]
CP-37,3,Good Standing Certificate (within 30 days),In Progress,Borrower,02_ENTITY_DOCUMENTS/02.03 Good Standing Certificate.pdf,1-2 BD,,Yes,Fresh from Wyoming SOS,,[YYYY-MM-DD]
CP-38,3,Lender's Counsel Opinion (US-qualified),Lender-Dependent,Lender,05_LEGAL/Lender_Counsel_Opinion.pdf,Per lender counsel,,Yes,,,[YYYY-MM-DD]
CP-39,3,Supplemental Legal Opinion (if required),Lender-Dependent,Lender,05_LEGAL/Supplemental_Legal_Opinion.pdf,Per lender counsel,,Medium,,,[YYYY-MM-DD]
CP-40,3,SBLC (if required by lender),Lender-Dependent,Borrower,05_LEGAL/SBLC_Draft.pdf,Per lender policy,,Medium,,,[YYYY-MM-DD]
CP-41,3,Full Insurance Policy Schedule + Participating Insurers,In Progress,Insurer,04_INSURANCE/04.02 Full Policy Schedule.pdf + 04.03 Participating Insurers.pdf,5-7 BD,,Yes,C.J. Coleman confirmed willingness,,[YYYY-MM-DD]
CP-42,4,Executed facility documents (all Phase 3 final),Lender-Dependent,Lender/Counsel,10_CORRESPONDENCE/[LENDER]/EXECUTED_DOCS.pdf,Closing day,,Yes,,,[YYYY-MM-DD]
CP-43,4,Filed UCC-1 (stamped + search-confirmed),In Progress,Counsel,05_LEGAL/05.06 UCC-1 Financing Statement.pdf,Closing day,,Yes,,,[YYYY-MM-DD]
CP-44,4,Funding wire confirmation,Lender-Dependent,Lender,10_CORRESPONDENCE/[LENDER]/Wire_Confirmation.pdf,Closing day,,Yes,,,[YYYY-MM-DD]
CP-45,4,Custodian control effective confirmation,In Progress,Custodian,03_COLLATERAL_DOCUMENTATION/Control_Effective_Confirmation.pdf,Closing day,,Yes,,,[YYYY-MM-DD]
CP-46,4,Lender's counsel sign-off,Lender-Dependent,Lender,10_CORRESPONDENCE/[LENDER]/Counsel_Signoff.pdf,Closing day,,Yes,,,[YYYY-MM-DD]
CP-47,5,Monthly Borrowing Base Certificate,In Progress,Borrower,07_FINANCIAL/BBC/[YYYY-MM].pdf,Monthly,Monthly,No,,,[YYYY-MM-DD]
CP-48,5,Periodic STC confirmation,In Progress,Custodian,03_COLLATERAL_DOCUMENTATION/STC_CONFIRM/[YYYY-MM].pdf,Quarterly,Quarterly,No,,,[YYYY-MM-DD]
CP-49,5,Borrower Financial Statements,In Progress,Borrower,07_FINANCIAL/07.02 Borrower Financial Statements.pdf,Quarterly,Quarterly,No,,,[YYYY-MM-DD]
CP-50,5,Covenant Compliance Certificate,In Progress,Borrower,07_FINANCIAL/Covenant_Compliance_Certificate.pdf,Monthly,Monthly,No,,,[YYYY-MM-DD]
CP-51,5,Annual compliance refresh,In Progress,Borrower,06_COMPLIANCE/REFRESH/[YYYY].pdf,Annual,Annual,No,,,[YYYY-MM-DD]
CP-52,5,Insurance renewal evidence,In Progress,Insurer,04_INSURANCE/RENEWAL/[YYYY].pdf,Annual,Annual,No,,,[YYYY-MM-DD]
CP-53,5,Good Standing Certificate,In Progress,Borrower,02_ENTITY_DOCUMENTS/02.03 Good Standing Certificate.pdf,Annual,Annual,No,,,[YYYY-MM-DD]
CP-54,5,Annual Audit,In Progress,Borrower,07_FINANCIAL/Annual_Audit_Report.pdf,Yearly,Yearly,No,,,[YYYY-MM-DD]
CP-55,5,No Additional Liens (negative covenant),In Progress,Borrower,,Continuous,Continuous,No,Breach = default,,[YYYY-MM-DD]
CP-56,5,No Rehypothecation (negative covenant),In Progress,Borrower,,Continuous,Continuous,No,Breach = default,,[YYYY-MM-DD]
CP-57,5,Single-Purpose Entity Maintenance,In Progress,Borrower,02_ENTITY_DOCUMENTS/02.02 Operating Agreement.pdf,Continuous,Continuous,No,,,[YYYY-MM-DD]
